X,Y,scalerank,featurecla,type,name,abbrev,location,gps_code,iata_code,wikipedia,natlscale,website,NATSCALE,LABELRANK,NAMEPAR,NAMEALT,DIFFASCII,NAMEASCII,ADM0CAP,CAPALT,CAPIN,WORLDCITY,MEGACITY,SOV0NAME,SOV_A3,ADM0NAME,ADM0_A3,ADM1NAME,ISO_A2,NOTE,LATITUDE,LONGITUDE,CHANGED,NAMEDIFF,DIFFNOTE,POP_MAX,POP_MIN,POP_OTHER,RANK_MAX,RANK_MIN,GEONAMEID,MEGANAME,LS_NAME,LS_MATCH,GN_ASCII,FEATURE_CL,FEATURE_CO,ADMIN1_COD,GN_POP,ELEVATION,GTOPO30,TIMEZONE,GEONAMESNO,UN_FID,UN_ADM0,UN_LAT,UN_LONG,CITYALT,HEX_ID,CONTINENT,adm1_id,adm1_name,adm1_type_,av_temp,av_prec,elev,landcover,city_id
-171.7310787375,63.7797103059,6,Populated place,0,Gambell,0,0,0,0,0,0,0,30,1,,,0,Gambell,0,0,,0,0,United States,USA,United States of America,USA,Alaska,US,,63.77971,-171.73108,1,0,Changed scale rank.,681,681,0,2,2,-1,,Gambell,0,,,,0,0,0,0,,"No GeoNames match due to small population, not in GeoNames, or poor NEV placement.",0,,0,0,,24,North America,4458,Alaska,State,-41,432,,10,8587
-166.8080200623,68.347726053,3,Populated place,0,Point Hope,0,0,0,0,0,0,0,110,1,,,0,Point Hope,0,0,,0,0,United States,USA,United States of America,USA,Alaska,US,,68.34773,-166.80802,0,0,,461,461,0,2,2,-1,,Point Hope,1,,,,0,0,0,0,,"Top 50 ranks with no GeoNames match due to small population, not in GeoNames, or poor NEV placement.",0,,0,0,,24,North America,4458,Alaska,State,-82,237,,10,8498
-171.8166032329,66.9500077506,8,Populated place,0,Enurmino,0,0,0,0,0,0,0,10,2,,,0,Enurmino,0,0,,0,0,Russia,RUS,Russia,RUS,Chukchi Autonomous Okrug,RU,,66.95001,-171.8166,0,0,,297,297,0,2,2,-1,,Enurmino,0,,,,0,0,0,0,,"No GeoNames match due to small population, not in GeoNames, or poor NEV placement.",0,,0,0,,24,Asia,3417,Chukchi Autonomous Okrug,Autonomous Province,-78,262,,3,6160
-166.0718892843,66.2569751171,7,Populated place,0,Shishmaref,0,0,0,0,0,0,0,20,1,,,0,Shishmaref,0,0,,0,0,United States,USA,United States of America,USA,Alaska,US,,66.25698,-166.07189,0,0,,254,254,0,2,2,-1,,Shishmaref,1,,,,0,0,0,0,,"No GeoNames match due to small population, not in GeoNames, or poor NEV placement.",0,,0,0,,24,North America,4458,Alaska,State,-56,334,,10,8496
-168.0875026876,65.6095986116,7,Populated place,0,Wales,0,0,0,0,0,0,0,20,1,,,0,Wales,0,0,,0,0,United States,USA,United States of America,USA,Alaska,US,,65.6096,-168.0875,0,0,,99,99,0,1,1,-1,,Wales,1,,,,0,0,0,0,,"No GeoNames match due to small population, not in GeoNames, or poor NEV placement.",0,,0,0,,24,North America,4458,Alaska,State,-64,367,,10,8497
-166.360786379,65.2635990592,8,Populated place,0,Teller,0,0,0,0,0,0,0,10,1,,,0,Teller,0,0,,0,0,United States,USA,United States of America,USA,Alaska,US,,65.2636,-166.36079,0,0,,83,83,0,1,1,-1,,Teller,1,,,,0,0,0,0,,"No GeoNames match due to small population, not in GeoNames, or poor NEV placement.",0,,0,0,,24,North America,4458,Alaska,State,-48,401,,0,8495
-171.0249978048,65.5832694694,8,Populated place,0,Lavrentiya,0,0,0,0,0,0,0,10,2,,,0,Lavrentiya,0,0,,0,0,Russia,RUS,Russia,RUS,Chukchi Autonomous Okrug,RU,,65.58327,-171.025,0,0,,1242,78,0,3,1,4031637,,Lavrentiya,1,Lavrentiya,P,PPL,15,1242,0,4,Asia/Anadyr,Geonames ascii name + lat.d + long.d matching.,0,,0,0,,24,Asia,3417,Chukchi Autonomous Okrug,Autonomous Province,-66,349,,10,6161
-166.531602826,53.8685840038,6,Populated place,0,Unalaska,0,0,0,0,0,0,0,30,1,,,0,Unalaska,0,0,,0,0,United States,USA,United States of America,USA,Alaska,US,,53.86858,-166.5316,1,0,Changed scale rank.,3571,306,0,4,2,5877208,,Unalaska,1,Unalaska,P,PPL,0,3571,4,0,America/Nome,Geonames ascii name + lat.d + long.d matching.,0,,0,0,,25,North America,4458,Alaska,State,39,932,4,10,8502
-174.200488731,52.1964896841,7,Populated place,0,Atka,0,0,0,0,0,0,0,20,1,,,0,Atka,0,0,,0,0,United States,USA,United States of America,USA,Alaska,US,,52.19649,-174.20049,0,0,,61,61,0,1,1,-1,,Atka,0,,,,0,0,0,0,,"No GeoNames match due to small population, not in GeoNames, or poor NEV placement.",0,,0,0,,25,North America,4458,Alaska,State,40,1295,68,3,8500
-168.8676876242,52.9384340608,7,Populated place,0,Nikolski,0,0,0,0,0,0,0,20,1,,,0,Nikolski,0,0,,0,0,United States,USA,United States of America,USA,Alaska,US,,52.93843,-168.86769,0,0,,18,18,0,1,1,-1,,Nikolski,0,,,,0,0,0,0,,"No GeoNames match due to small population, not in GeoNames, or poor NEV placement.",0,,0,0,,25,North America,4458,Alaska,State,49,961,19,11,8501
-172.497665428,-8.5486181556,8,Admin-1 capital,0,Atafu,0,0,0,0,0,0,0,10,8,,,0,Atafu,0,0,,0,0,New Zealand,NZL,Tokelau,TKL,Tokelau aggregation,NZ,,-8.54862,-172.49767,0,0,,524,524,0,0,0,7522183,,,0,,,,0,524,0,0,Pacific/Enderbury,,0,,0,0,,31,Oceania,3064,Tokelau,,,,,0,5679
-171.7386416086,-13.8415450424,3,Admin-0 capital,0,Apia,0,0,0,0,0,0,0,110,0,,,0,Apia,1,0,,0,0,Samoa,WSM,Samoa,WSM,,WS,,-13.84155,-171.73864,4,0,Location adjusted.,61916,37708,0,8,7,3689793,,Apia,1,Apia,P,PPL,24,6940,0,1561,America/Bogota,GeoNames match general.,0,,0,0,,32,Oceania,4586,Tuamasaga,,245,4358,,11,8759
-170.7066451437,-14.2766104952,4,Admin-0 region capital,0,Pago Pago,0,0,0,0,0,0,0,50,0,,,0,Pago Pago,0,0,,0,0,United States,USA,American Samoa,ASM,,AS,,-14.27661,-170.70665,1,0,Changed scale rank.,12576,11500,0,6,6,5881576,,Pago Pago,1,Pago Pago,P,PPLC,0,4196,2,195,Pacific/Pago_Pago,GeoNames match general.,0,,0,0,,32,Oceania,148,Eastern,,261,3891,53,2,322
-173.983292686,-18.6495735486,7,Populated place,0,Neiafu,0,0,0,0,0,0,0,20,0,,,0,Neiafu,0,0,,0,0,Tonga,TON,Tonga,TON,,TO,,-18.64957,-173.98329,0,0,,7391,4320,7391,5,4,4032420,,Neiafu,1,Neiafu,P,PPL,3,4320,0,1,Pacific/Tongatapu,Geonames ascii name + lat.d + long.d matching.,0,,0,0,,32,Oceania,4061,Vava'u,,249,2215,36,14,7240
-169.913625428,-19.0659876723,8,Admin-1 capital,0,Alofi,0,0,0,0,0,0,0,10,8,,,0,Alofi,0,0,,0,0,New Zealand,NZL,Niue,NIU,Niue aggregation,NZ,,-19.06599,-169.91363,0,0,,581,581,0,0,0,4036284,,,0,,,,0,624,0,0,Pacific/Pago_Pago,,0,,0,0,,32,Oceania,2979,Niue,,246,2005,72,2,5514
-173.9680939442,-18.5860058551,8,Airport,mid,Vava'u Int'l,VAV,terminal,NFTV,VAV,http://en.wikipedia.org/wiki/Vava'u_International_Airport,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,Oceania,4061,Vava'u,,249,2215,67,14,7239
-169.9261297742,-19.0767129355,7,Airport,mid,Niue Int'l,IUE,terminal,NIUE,IUE,http://en.wikipedia.org/wiki/Niue_International_Airport,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,Oceania,2979,Niue,,246,2005,61,14,5513
-170.687927,-14.27416667,6,Port,0,Pago Pago,0,0,0,0,0,20,americansamoa.gov,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,Oceania,148,Eastern,,261,3891,8,11,321
-170.7133070537,-14.329064185,6,Airport,mid,Pago Pago Int'l,PPG,terminal,NSTU,PPG,http://en.wikipedia.org/wiki/Pago_Pago_International_Airport,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,Oceania,152,Western,,261,3891,7,12,323
-171.9973222183,-13.8325013324,6,Airport,mid,Faleolo,APW,terminal,NSFA,APW,http://en.wikipedia.org/wiki/Faleolo_International_Airport,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,Oceania,4588,Aiga-i-le-Tai,,265,2839,5,2,8760
-162.5965975362,66.8986930533,7,Populated place,0,Kotzebue,0,0,0,0,0,0,0,20,1,,,0,Kotzebue,0,0,,0,0,United States,USA,United States of America,USA,Alaska,US,,66.89869,-162.5966,0,0,,3194,2553,2258,4,4,5866726,,Kotzebue,1,Kotzebue,P,PPL,0,3194,6,0,America/Juneau,Geonames ascii name + lat.d + long.d matching.,0,,0,0,,45,North America,4458,Alaska,State,-58,239,,10,8509
-156.7885799581,71.290569681,3,Populated place,0,Barrow,0,0,0,0,0,0,0,110,1,,,0,Barrow,0,0,,0,0,United States,USA,United States of America,USA,Alaska,US,,71.29057,-156.78858,0,0,,4336,2488,1275,4,4,5880054,,Barrow,1,Barrow,P,PPL,0,4336,3,0,America/Juneau,Geonames ascii name + lat.d + long.d matching.,0,,0,0,,45,North America,4458,Alaska,State,-122,116,,10,8511
-160.0093911153,66.6038790071,8,Populated place,0,Selawik,0,0,0,0,0,0,0,10,1,,,0,Selawik,0,0,,0,0,United States,USA,United States of America,USA,Alaska,US,,66.60388,-160.00939,0,0,,832,832,610,2,2,-1,,Selawik,1,,,,0,0,0,0,,"No GeoNames match due to small population, not in GeoNames, or poor NEV placement.",0,,0,0,,45,North America,4458,Alaska,State,-60,266,,10,8505
-164.4859034285,67.7314922402,7,Populated place,0,Kivalina,0,0,0,0,0,0,0,20,1,,,0,Kivalina,0,0,,0,0,United States,USA,United States of America,USA,Alaska,US,,67.73149,-164.4859,4,0,Location adjusted.,374,374,0,2,2,-1,,Kivalina,0,,,,0,0,0,0,,"No GeoNames match due to small population, not in GeoNames, or poor NEV placement.",0,,0,0,,45,North America,4458,Alaska,State,-70,237,,7,8506
-157.851409141,67.0864852083,7,Populated place,0,Ambler,0,0,0,0,0,0,0,20,1,,,0,Ambler,0,0,,0,0,United States,USA,United States of America,USA,Alaska,US,,67.08649,-157.85141,0,0,,258,258,0,2,2,-1,,Ambler,0,,,,0,0,0,0,,"No GeoNames match due to small population, not in GeoNames, or poor NEV placement.",0,,0,0,,45,North America,4458,Alaska,State,-73,260,,8,8508
-161.1574717345,64.9402687372,7,Populated place,0,Koyuk,0,0,0,0,0,0,0,20,1,,,0,Koyuk,0,0,,0,0,United States,USA,United States of America,USA,Alaska,US,,64.94027,-161.15747,4,0,Location adjusted.,254,254,0,2,2,-1,,Koyuk,1,,,,0,0,0,0,,"No GeoNames match due to small population, not in GeoNames, or poor NEV placement.",0,,0,0,,45,North America,4458,Alaska,State,-43,355,,7,8507
-157.3957780375,70.4693794954,8,Populated place,0,Atqasuk,0,0,0,0,0,0,0,10,1,,,0,Atqasuk,0,0,,0,0,United States,USA,United States of America,USA,Alaska,US,,70.46938,-157.39578,0,0,,201,201,0,2,2,-1,,Atqasuk,0,,,,0,0,0,0,,"No GeoNames match due to small population, not in GeoNames, or poor NEV placement.",0,,0,0,,45,North America,4458,Alaska,State,-112,141,,10,8504
-160.0383040792,70.6368886507,6,Populated place,0,Wainwright,0,0,0,0,0,0,0,30,1,,,0,Wainwright,0,0,,0,0,United States,USA,United States of America,USA,Alaska,US,,70.63689,-160.0383,1,0,Changed scale rank.,174,174,0,1,1,-1,,Wainwright,1,,,,0,0,0,0,,"No GeoNames match due to small population, not in GeoNames, or poor NEV placement.",0,,0,0,,45,North America,4458,Alaska,State,-107,141,,10,8510
-156.771835,71.289299,4,Airport,mid,Wiley Post Will Rogers Mem.,BRW,terminal,PABR,BRW,http://en.wikipedia.org/wiki/Wiley_Post-Will_Rogers_Memorial_Airport,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,North America,4458,Alaska,State,-122,116,,10,8503
-161.7557961446,60.7933034456,3,Populated place,0,Bethel,0,0,0,0,0,0,0,110,1,,,0,Bethel,0,0,,0,0,United States,USA,United States of America,USA,Alaska,US,,60.7933,-161.7558,0,0,,6228,4653,0,5,4,5880568,,Bethel,1,Bethel,P,PPL,0,6228,1,0,America/Juneau,Geonames ascii name + lat.d + long.d matching.,0,,0,0,,46,North America,4458,Alaska,State,-13,409,,10,8536
-163.5532833273,63.0345878287,7,Populated place,0,Kotlit,0,0,0,0,0,0,0,20,1,,,0,Kotlit,0,0,,0,0,United States,USA,United States of America,USA,Alaska,US,,63.03459,-163.55328,0,0,,1002,1002,0,3,3,-1,,Kotlit,1,,,,0,0,0,0,,"No GeoNames match due to small population, not in GeoNames, or poor NEV placement.",0,,0,0,,46,North America,4458,Alaska,State,-24,461,,7,8530
-158.4803120731,59.0565603114,8,Populated place,0,Dillingham,0,0,0,0,0,0,0,10,1,,,0,Dillingham,0,0,,0,0,United States,USA,United States of America,USA,Alaska,US,,59.05656,-158.48031,4,0,Location adjusted.,2488,932,0,4,2,5860695,,Dillingham,1,Dillingham,P,PPL,0,2488,29,0,America/Anchorage,Geonames ascii name + lat.d + long.d matching.,0,,0,0,,46,North America,4458,Alaska,State,8,602,13,14,8517
-163.7290090353,62.0855243115,8,Populated place,0,Mountain Village,0,0,0,0,0,0,0,10,1,,,0,Mountain Village,0,0,,0,0,United States,USA,United States of America,USA,Alaska,US,,62.08552,-163.72901,0,0,,755,755,0,2,2,-1,,Mountain Village,0,,,,0,0,0,0,,"No GeoNames match due to small population, not in GeoNames, or poor NEV placement.",0,,0,0,,46,North America,4458,Alaska,State,-18,504,,10,8521
-160.7880515971,63.8734255159,7,Populated place,0,Unalakleet,0,0,0,0,0,0,0,20,1,,,0,Unalakleet,0,0,,0,0,United States,USA,United States of America,USA,Alaska,US,,63.87343,-160.78805,0,0,,741,741,0,2,2,-1,,Unalakleet,1,,,,0,0,0,0,,"No GeoNames match due to small population, not in GeoNames, or poor NEV placement.",0,,0,0,,46,North America,4458,Alaska,State,-36,351,,10,8531
-160.497190798,55.3397086783,8,Populated place,0,Sand Point,0,0,0,0,0,0,0,10,1,,,0,Sand Point,0,0,,0,0,United States,USA,United States of America,USA,Alaska,US,,55.33971,-160.49719,0,0,,667,667,549,2,2,-1,,Sand Point,1,,,,0,0,0,0,,"No GeoNames match due to small population, not in GeoNames, or poor NEV placement.",0,,0,0,,46,North America,4458,Alaska,State,34,767,8,10,8513
-159.5221857117,61.5787077018,7,Populated place,0,Aniak,0,0,0,0,0,0,0,20,1,,,0,Aniak,0,0,,0,0,United States,USA,United States of America,USA,Alaska,US,,61.57871,-159.52219,0,0,,501,501,0,2,2,-1,,Aniak,0,,,,0,0,0,0,,"No GeoNames match due to small population, not in GeoNames, or poor NEV placement.",0,,0,0,,46,North America,4458,Alaska,State,-24,463,,11,8529
-165.2557892273,60.5854866731,8,Populated place,0,Tununak,0,0,0,0,0,0,0,10,1,,,0,Tununak,0,0,,0,0,United States,USA,United States of America,USA,Alaska,US,,60.58549,-165.25579,0,0,,352,352,0,2,2,-1,,Tununak,1,,,,0,0,0,0,,"No GeoNames match due to small population, not in GeoNames, or poor NEV placement.",0,,0,0,,46,North America,4458,Alaska,State,-9,682,,10,8520
-156.66137842,58.6887032258,7,Populated place,0,King Salmon,0,0,0,0,0,0,0,20,1,,,0,King Salmon,0,0,,0,0,United States,USA,United States of America,USA,Alaska,US,,58.6887,-156.66138,0,0,,292,292,200,2,2,-1,,King Salmon,1,,,,0,0,0,0,,"No GeoNames match due to small population, not in GeoNames, or poor NEV placement.",0,,0,0,,46,North America,4458,Alaska,State,9,519,20,7,8527
-161.915786379,59.7492328075,7,Populated place,0,Quinhagak,0,0,0,0,0,0,0,20,1,,,0,Quinhagak,0,0,,0,0,United States,USA,United States of America,USA,Alaska,US,,59.74923,-161.91579,0,0,,250,250,0,2,2,-1,,Quinhagak,1,,,,0,0,0,0,,"No GeoNames match due to small population, not in GeoNames, or poor NEV placement.",0,,0,0,,46,North America,4458,Alaska,State,-4,652,8,10,8528
-160.3783234332,59.070361007,6,Populated place,0,Togiak,0,0,0,0,0,0,0,30,1,,,0,Togiak,0,0,,0,0,United States,USA,United States of America,USA,Alaska,US,,59.07036,-160.37832,1,0,Location adjusted. Changed scale rank.,236,236,236,2,2,-1,,Togiak,1,,,,0,0,0,0,,"No GeoNames match due to small population, not in GeoNames, or poor NEV placement.",0,,0,0,,46,North America,4458,Alaska,State,2,677,3,10,8532
-161.587130239,59.1209926545,8,Populated place,0,Goodnews Bay,0,0,0,0,0,0,0,10,1,,,0,Goodnews Bay,0,0,,0,0,United States,USA,United States of America,USA,Alaska,US,,59.12099,-161.58713,0,0,,230,230,0,2,2,-1,,Goodnews Bay,0,,,,0,0,0,0,,"No GeoNames match due to small population, not in GeoNames, or poor NEV placement.",0,,0,0,,46,North America,4458,Alaska,State,-1,828,11,10,8518
-158.721898643,64.3271962679,8,Populated place,0,Kaltag,0,0,0,0,0,0,0,10,1,,,0,Kaltag,0,0,,0,0,United States,USA,United States of America,USA,Alaska,US,,64.3272,-158.7219,0,0,,190,190,0,1,1,-1,,Kaltag,0,,,,0,0,0,0,,"No GeoNames match due to small population, not in GeoNames, or poor NEV placement.",0,,0,0,,46,North America,4458,Alaska,State,-42,354,,11,8523
-166.0965647807,61.5310878694,6,Populated place,0,Hooper Bay,0,0,0,0,0,0,0,30,1,,,0,Hooper Bay,0,0,,0,0,United States,USA,United States of America,USA,Alaska,US,,61.53109,-166.09656,1,0,Changed scale rank.,1079,167,0,3,1,5864197,,Hooper Bay,1,Hooper Bay,P,PPL,0,1079,8,0,America/Juneau,Geonames ascii name + lat.d + long.d matching.,0,,0,0,,46,North America,4458,Alaska,State,-15,661,,10,8534
-158.4022282328,56.2956709993,7,Populated place,0,Chignik,0,0,0,0,0,0,0,20,1,,,0,Chignik,0,0,,0,0,United States,USA,United States of America,USA,Alaska,US,,56.29567,-158.40223,0,0,,118,118,0,1,1,-1,,Chignik,1,,,,0,0,0,0,,"No GeoNames match due to small population, not in GeoNames, or poor NEV placement.",0,,0,0,,46,North America,4458,Alaska,State,20,570,1,1,8526
-159.1511489278,55.918613911,8,Populated place,0,Perryville,0,0,0,0,0,0,0,10,1,,,0,Perryville,0,0,,0,0,United States,USA,United States of America,USA,Alaska,US,,55.91861,-159.15115,0,0,,113,113,0,1,1,-1,,Perryville,0,,,,0,0,0,0,,"No GeoNames match due to small population, not in GeoNames, or poor NEV placement.",0,,0,0,,46,North America,4458,Alaska,State,29,615,24,4,8516
-162.7150915955,55.2000014436,3,Populated place,0,Cold Bay,0,0,0,0,0,0,0,110,1,,,0,Cold Bay,0,0,,0,0,United States,USA,United States of America,USA,Alaska,US,,55.2,-162.71509,4,0,Location adjusted.,200,108,0,1,1,-1,,Cold Bay,0,,,,0,0,0,0,,"Top 50 ranks with no GeoNames match due to small population, not in GeoNames, or poor NEV placement.",0,,0,0,,46,North America,4458,Alaska,State,35,955,21,10,8535
-158.6268915222,56.9490936474,8,Populated place,0,Port Heiden,0,0,0,0,0,0,0,10,1,,,0,Port Heiden,0,0,,0,0,United States,USA,United States of America,USA,Alaska,US,,56.94909,-158.62689,0,0,,102,102,0,1,1,-1,,Port Heiden,0,,,,0,0,0,0,,"No GeoNames match due to small population, not in GeoNames, or poor NEV placement.",0,,0,0,,46,North America,4458,Alaska,State,25,482,28,10,8515
-164.5229915792,62.7769808137,8,Populated place,0,Emmonak,0,0,0,0,0,0,0,10,1,,,0,Emmonak,0,0,,0,0,United States,USA,United States of America,USA,Alaska,US,,62.77698,-164.52299,0,0,,100,100,0,1,1,-1,,Emmonak,1,,,,0,0,0,0,,"No GeoNames match due to small population, not in GeoNames, or poor NEV placement.",0,,0,0,,46,North America,4458,Alaska,State,-21,515,,10,8522
-166.1899372168,60.3886467098,8,Populated place,0,Mekoryuk,0,0,0,0,0,0,0,10,1,,,0,Mekoryuk,0,0,,0,0,United States,USA,United States of America,USA,Alaska,US,,60.38865,-166.18994,0,0,,99,99,0,1,1,-1,,Mekoryuk,1,,,,0,0,0,0,,"No GeoNames match due to small population, not in GeoNames, or poor NEV placement.",0,,0,0,,46,North America,4458,Alaska,State,-7,689,,10,8514
-157.5691266297,57.564559956,7,Populated place,0,Pilot Point,0,0,0,0,0,0,0,20,1,,,0,Pilot Point,0,0,,0,0,United States,USA,United States of America,USA,Alaska,US,,57.56456,-157.56913,0,0,,68,68,0,1,1,-1,,Pilot Point,0,,,,0,0,0,0,,"No GeoNames match due to small population, not in GeoNames, or poor NEV placement.",0,,0,0,,46,North America,4458,Alaska,State,21,534,21,10,8525
-159.9404805929,61.0041432893,8,Populated place,0,Nyac,0,0,0,0,0,0,0,10,1,,,0,Nyac,0,0,,0,0,United States,USA,United States of America,USA,Alaska,US,,61.00414,-159.94048,0,0,,100,50,0,1,1,-1,,Nyac,0,,,,0,0,0,0,,"No GeoNames match due to small population, not in GeoNames, or poor NEV placement.",0,,0,0,,46,North America,4458,Alaska,State,-32,495,,7,8519
